Designator,Footprint,Quantity,Value,LCSC Part #
"BOOT_SEL1, SW2",SW-SMD_4P-L5.1-W5.1-P3.70-LS6.5-TL-2,2,TS-1187A-B-A-B,C318884
"C1, C10, C11, C12, C13, C14, C16, C17, C7, C8",0603,10,100nF,C14663
"C15, C18",0603,2,1uF,C15849
"C19, C20",0603,2,27pF,C302064
"C2, C3, C4, C5, C6",0603,5,10uF,C19702
C9,0603,1,22uF,C59461
"D1, D2",SOD-523F_L1.2-W0.8-LS1.7-RD,2,MSK4005,C345957
J1,CONN-TH_3P-P1.25_HDGC_HDGC1251WR-3P,1,BattConn,
J2,Badgelife-SAOv169-BADGE-2x3,1,SAO Header 1,
J3,Badgelife-SAOv169-BADGE-2x3,1,SAO Header 2,
JP1,SolderJumper-3_P1.3mm_Open_RoundedPad1.0x1.5mm,1,BATT_TEMP_EN,
Q1,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,1,AO3401A,C15127
Q2,SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,1,S8050,C2146
R1,SENSORS-SMD_ALS-PT19,1,ALS-PT19-315C/L177/TR8,C146233
"R10, R9",0603,2,5.1K,C23186
"R11, R18, R2",0603,3,1K,C21190
"R12, R13, R14, R15, R16, R17",0603,6,1M,C22935
"R19, R4",0603,2,100K,C25803
"R20, R21, R6",0603,3,DNF,
R3,0603,1,2.4K,C22940
R5,0603,1,24K,C23352
"R7, R8",0603,2,27.4,C100926
SW1,PinHeader_1x02_P2.54mm_Horizontal,1,SW_Push,
TP1,chip_left,1,L,
"TP11, TP12, TP13, TP14, TP15, TP16, TP7, TP8, TP9",TestPoint_Pad_D1.0mm,9,TestPoint,
TP2,chip_up,1,U,
TP3,chip_r,1,R,
TP4,chip_down,1,D,
TP5,chip_b,1,B,
TP6,chip_a,1,A,
U1,ESOP-8_L4.9-W3.9-P1.27-LS6.0-BR-EP3.3,1,TC4056A,C84051
U10,SOT-89_L4.5-W2.5-P1.50-LS4.2-BR,1,ME6210A33PG,C85233
U2,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,W25Q128JVSIQTR,C97521
U3,LQFN-56_L7.0-W7.0-P0.4-EP,1,RP2040,C2040
U4,GC9A01,1,GC9A01 LCD,
U7,LGA-14_L3.0-W2.5-P0.50-BR,1,QMI8658C,C2842151
U9,WLCSP-4_L0.8-W0.8-R2-C2-P0.40-BL,1,QMC6308,C462705
USB1,USB-C_SMD-TYPE-C-31-M-12,1,USB-TYPE-C-018,C2927038
X1,OSC-SMD_4P-L3.2-W2.5-BL,1,X322512MSB4SI,C9002
