Designator,Mid X,Mid Y,Rotation,Layer
BOOT_SEL1,2.75,-29.5,315.0,top
C1,-2.086998,-36.663002,135.0,top
C10,21.75,-40.306222,0.0,top
C11,21.75,-44.943722,0.0,top
C12,24.25,-47.081222,90.0,top
C13,19.25,-47.081222,270.0,top
C14,24.25,-42.806222,270.0,top
C15,11.344714,-52.87132,225.0,top
C16,12.405374,-53.931981,225.0,top
C17,13.48548,-55.012086,225.0,top
C18,10.284054,-51.81066,225.0,top
C19,8.6,-37.6,315.0,top
C2,36.157798,-3.584843,315.0,top
C20,3.268415,-42.931585,135.0,top
C3,38.986225,-6.41327,135.0,top
C4,22.4625,9.0,90.0,top
C5,12.65,11.88,180.0,top
C6,12.65,5.38,0.0,top
C7,19.25,-42.806222,270.0,top
C8,21.75,-49.581222,180.0,top
C9,-16.884575,-2.794105,315.0,top
D1,40.15,-36.05,315.0,top
D2,19.5025,11.51,180.0,top
J1,49.0,-4.75,45.0,bottom
J2,33.98,16.95,330.0,top
J3,-1.58,16.95,30.0,top
Q1,19.6,9.0,0.0,top
Q2,42.564752,9.536468,225.0,top
R1,-19.005896,-1.733444,45.0,top
R10,37.5,-38.7,135.0,top
R11,4.329075,-41.870925,315.0,top
R12,10.955806,-35.229006,45.0,top
R13,12.016466,-36.289666,45.0,top
R14,14.137786,-38.410987,45.0,top
R15,3.598528,-46.610058,225.0,top
R16,4.659188,-47.670718,225.0,top
R17,13.077126,-37.350327,45.0,top
R18,40.5,7.5,315.0,top
R19,-15.828427,6.636917,45.0,top
R2,-4.5,-34.25,135.0,top
R20,41.886953,1.866583,315.0,top
R21,44.361826,-0.608291,315.0,top
R3,36.75,1.25,45.0,top
R4,19.625,6.5,180.0,top
R5,-17.945235,-3.854765,315.0,top
R6,-8.182259,-40.325815,135.0,top
R7,14.844893,-49.724695,315.0,top
R8,13.784233,-50.785355,135.0,top
R9,39.05,-37.2,135.0,top
SW1,-13.0,5.7,315.0,top
SW2,29.75,-29.5,45.0,top
U1,40.251946,-2.248411,135.0,top
U10,11.9,8.63,0.0,top
U2,-5.799309,-37.900439,225.0,top
U3,11.0,-44.872175,225.0,top
U4,16.0,16.0,0.0,bottom
U7,-5.4,-4.2,45.0,top
U9,-3.045335,-1.845335,135.0,top
USB1,42.287442,-41.761756,45.0,top
X1,6.47868,-39.721321,45.0,top
